Parser,Category,File,Result
yasjf4j-gson,correct,y_structure_lonely_int.json,PARSE_EXCEPTION
yasjf4j-gson,correct,simple-int-1.json,OK
yasjf4j-gson,correct,y_array_false.json,OK
yasjf4j-gson,correct,roundtrip11.json,OK
yasjf4j-gson,correct,y_string_pi.json,OK
yasjf4j-gson,correct,y_object_string_unicode.json,EQUIVALENT_OBJECT
yasjf4j-gson,correct,y_string_allowed_escapes.json,EQUIVALENT_OBJECT
yasjf4j-gson,correct,y_string_u+2029_par_sep.json,EQUIVALENT_OBJECT
yasjf4j-gson,correct,simple-int-123.json,OK
yasjf4j-gson,correct,real-subnormal-number.json,OK
yasjf4j-gson,correct,roundtrip09.json,OK
yasjf4j-gson,correct,string-escapes.json,EQUIVALENT_OBJECT
yasjf4j-gson,correct,utf-8-string.json,OK
yasjf4j-gson,correct,citm_catalog.json,NON_EQUIVALENT_OBJECT
yasjf4j-gson,correct,y_structure_lonely_true.json,PARSE_EXCEPTION
yasjf4j-gson,correct,y_string_one-byte-utf-8.json,EQUIVALENT_OBJECT
yasjf4j-gson,correct,y_string_unicode_2.json,OK
yasjf4j-gson,correct,y_string_unicode_U+200B_ZERO_WIDTH_SPACE.json,EQUIVALENT_OBJECT
yasjf4j-gson,correct,roundtrip06.json,OK
yasjf4j-gson,correct,y_string_escaped_noncharacter.json,EQUIVALENT_OBJECT
yasjf4j-gson,correct,y_structure_lonely_null.json,PARSE_EXCEPTION
yasjf4j-gson,correct,roundtrip23.json,OK
yasjf4j-gson,correct,roundtrip12.json,OK
yasjf4j-gson,correct,simple-int-0.json,OK
yasjf4j-gson,correct,y_string_unicodeEscapedBackslash.json,EQUIVALENT_OBJECT
yasjf4j-gson,correct,y_string_backslash_and_u_escaped_zero.json,OK
yasjf4j-gson,correct,y_object_basic.json,OK
yasjf4j-gson,correct,y_string_in_array.json,OK
yasjf4j-gson,correct,y_string_nonCharacterInUTF-8_U+FFFF.json,OK
yasjf4j-gson,correct,y_array_arraysWithSpaces.json,EQUIVALENT_OBJECT
yasjf4j-gson,correct,y_string_space.json,PARSE_EXCEPTION
yasjf4j-gson,correct,y_number.json,OK
yasjf4j-gson,correct,y_string_three-byte-utf-8.json,EQUIVALENT_OBJECT
yasjf4j-gson,correct,y_string_reservedCharacterInUTF-8_U+1BFFF.json,OK
yasjf4j-gson,correct,y_string_unicode_escaped_double_quote.json,EQUIVALENT_OBJECT
yasjf4j-gson,correct,y_string_utf8.json,OK
yasjf4j-gson,correct,roundtrip13.json,OK
yasjf4j-gson,correct,y_string_escaped_control_character.json,OK
yasjf4j-gson,correct,org-json-pass2.json,OK
yasjf4j-gson,correct,y_number_negative_int.json,OK
yasjf4j-gson,correct,y_array_empty.json,OK
yasjf4j-gson,correct,y_array_ending_with_newline.json,OK
yasjf4j-gson,correct,pass01.json,NON_EQUIVALENT_OBJECT
yasjf4j-gson,correct,roundtrip04.json,OK
